review_id,viewer_id,movie_id,review_date,rating,sentiment,comment
r414,v95,m2,2025-06-10,4.6,positive,Demo internal review summary
r417,v59,m3,2025-07-14,3.0,neutral,Demo internal review summary
r420,v36,m2,2025-10-07,4.1,positive,Demo internal review summary
r423,v18,m2,2025-12-29,3.6,neutral,Demo internal review summary
r426,v71,m6,2025-10-02,2.8,negative,Demo internal review summary
r429,v91,m3,2025-05-17,3.4,neutral,Demo internal review summary
r432,v9,m7,2025-02-17,4.2,positive,Demo internal review summary
r435,v85,m7,2025-10-17,4.8,positive,Demo internal review summary
r438,v145,m5,2025-12-03,3.0,neutral,Demo internal review summary
r441,v146,m2,2025-07-19,3.6,neutral,Demo internal review summary
r444,v102,m3,2025-06-17,4.6,positive,Demo internal review summary
r447,v22,m4,2025-11-13,2.7,negative,Demo internal review summary
r450,v79,m1,2025-08-16,4.3,positive,Demo internal review summary
r453,v91,m1,2025-10-11,4.7,positive,Demo internal review summary
r456,v98,m6,2025-03-28,1.7,negative,Demo internal review summary
r459,v65,m3,2025-05-07,3.5,neutral,Demo internal review summary
r462,v35,m7,2025-06-03,3.6,neutral,Demo internal review summary
r465,v63,m7,2025-06-16,3.0,neutral,Demo internal review summary
r468,v18,m7,2025-07-29,4.8,positive,Demo internal review summary
r471,v150,m4,2025-07-25,2.7,negative,Demo internal review summary
r474,v12,m6,2025-10-16,2.9,negative,Demo internal review summary
r477,v133,m6,2025-10-13,2.9,negative,Demo internal review summary
r480,v37,m1,2025-06-28,5,positive,Demo internal review summary
r483,v12,m3,2025-12-30,3.3,neutral,Demo internal review summary
r486,v104,m7,2025-11-19,3.1,neutral,Demo internal review summary
r489,v55,m6,2025-04-16,2.9,negative,Demo internal review summary
r492,v81,m5,2025-11-02,3.6,neutral,Demo internal review summary
r495,v22,m5,2025-12-11,3.8,neutral,Demo internal review summary
r498,v138,m6,2025-12-22,3.1,neutral,Demo internal review summary
r501,v125,m1,2025-03-11,5,positive,Demo internal review summary
r504,v57,m1,2025-05-30,4.4,positive,Demo internal review summary
r507,v69,m1,2025-10-06,3.6,neutral,Demo internal review summary
r510,v68,m4,2025-06-28,2.6,negative,Demo internal review summary
r513,v36,m2,2025-04-16,3.5,neutral,Demo internal review summary
r516,v25,m6,2025-03-11,2.5,negative,Demo internal review summary
r519,v101,m7,2025-09-08,3.7,neutral,Demo internal review summary
r522,v125,m4,2025-06-17,3.4,neutral,Demo internal review summary
r525,v55,m7,2025-09-11,3.4,neutral,Demo internal review summary
r528,v32,m1,2025-03-22,5,positive,Demo internal review summary
r531,v22,m3,2025-07-10,4.1,positive,Demo internal review summary
r534,v58,m5,2025-09-23,4.3,positive,Demo internal review summary
r537,v27,m1,2025-02-22,5,positive,Demo internal review summary
r540,v113,m2,2025-06-29,4.8,positive,Demo internal review summary
r543,v32,m7,2025-10-29,4.3,positive,Demo internal review summary
r546,v53,m3,2025-09-23,3.7,neutral,Demo internal review summary
r549,v19,m5,2025-09-28,5,positive,Demo internal review summary
r552,v18,m1,2025-01-08,4.4,positive,Demo internal review summary
r555,v138,m6,2025-10-03,3.0,neutral,Demo internal review summary
r558,v62,m7,2025-01-30,3.9,neutral,Demo internal review summary
r561,v3,m6,2025-03-25,1.8,negative,Demo internal review summary
r564,v110,m3,2025-05-20,3.7,neutral,Demo internal review summary
r567,v95,m2,2025-03-22,4.7,positive,Demo internal review summary
r570,v10,m2,2025-10-11,3.6,neutral,Demo internal review summary
r573,v31,m3,2025-09-15,4.2,positive,Demo internal review summary
r576,v95,m1,2025-04-13,5,positive,Demo internal review summary
r579,v2,m2,2025-07-29,3.5,neutral,Demo internal review summary
r582,v126,m4,2025-01-31,3.7,neutral,Demo internal review summary
r585,v22,m4,2025-10-25,2.4,negative,Demo internal review summary
r588,v84,m6,2025-06-12,2.4,negative,Demo internal review summary
r591,v105,m3,2025-03-03,3.2,neutral,Demo internal review summary
r594,v24,m2,2025-12-31,4.3,positive,Demo internal review summary
r597,v141,m5,2025-05-08,3.9,neutral,Demo internal review summary
r600,v17,m1,2025-04-12,4.2,positive,Demo internal review summary
r603,v102,m4,2025-09-12,2.3,negative,Demo internal review summary
r606,v123,m5,2025-02-01,4.0,positive,Demo internal review summary
r609,v123,m3,2025-10-06,4.4,positive,Demo internal review summary
r612,v92,m5,2025-10-27,3.5,neutral,Demo internal review summary
r615,v45,m3,2025-04-01,4.1,positive,Demo internal review summary
r618,v80,m5,2025-03-31,3.0,neutral,Demo internal review summary
r621,v34,m7,2025-06-24,4.1,positive,Demo internal review summary
r624,v26,m5,2025-06-22,3.9,neutral,Demo internal review summary
r627,v92,m5,2025-04-25,3.2,neutral,Demo internal review summary
r630,v57,m3,2025-11-24,4.4,positive,Demo internal review summary
r633,v115,m3,2025-01-06,3.6,neutral,Demo internal review summary
r636,v90,m4,2025-10-07,2.3,negative,Demo internal review summary
r639,v6,m3,2025-06-13,4.1,positive,Demo internal review summary
r642,v112,m2,2025-03-22,4.3,positive,Demo internal review summary
r645,v25,m2,2025-01-26,4.3,positive,Demo internal review summary
r648,v75,m2,2025-02-11,3.8,neutral,Demo internal review summary
r651,v98,m3,2025-07-09,3.7,neutral,Demo internal review summary
r654,v59,m4,2025-10-11,3.4,neutral,Demo internal review summary
r657,v21,m3,2025-07-22,4.5,positive,Demo internal review summary
r660,v50,m2,2025-03-06,4.3,positive,Demo internal review summary
r663,v100,m1,2025-10-12,4.9,positive,Demo internal review summary
r666,v150,m5,2025-02-21,3.3,neutral,Demo internal review summary
r669,v122,m5,2025-01-20,4.3,positive,Demo internal review summary
r672,v6,m3,2025-06-22,4.4,positive,Demo internal review summary
r675,v83,m4,2025-05-18,2.6,negative,Demo internal review summary
r678,v130,m3,2025-07-26,3.5,neutral,Demo internal review summary
r681,v51,m3,2025-05-21,3.0,neutral,Demo internal review summary
r684,v42,m3,2025-05-13,3.8,neutral,Demo internal review summary
r687,v53,m2,2025-05-18,5,positive,Demo internal review summary
r690,v71,m6,2025-08-05,2.9,negative,Demo internal review summary
r693,v96,m6,2025-10-15,2.6,negative,Demo internal review summary
r696,v49,m3,2025-03-18,4.6,positive,Demo internal review summary
r699,v108,m3,2025-07-27,2.3,negative,Demo internal review summary
r702,v130,m3,2025-06-03,2.9,negative,Demo internal review summary
r705,v86,m6,2025-12-02,3.0,neutral,Demo internal review summary
r708,v149,m5,2025-11-14,4.9,positive,Demo internal review summary
r711,v105,m3,2025-10-19,4.5,positive,Demo internal review summary
r714,v44,m7,2025-10-23,4.7,positive,Demo internal review summary
r717,v10,m1,2025-10-01,5,positive,Demo internal review summary
r720,v34,m3,2025-02-22,3.4,neutral,Demo internal review summary
r723,v35,m4,2025-06-25,2.6,negative,Demo internal review summary
r726,v94,m1,2025-12-31,4.8,positive,Demo internal review summary
r729,v30,m6,2025-08-02,2.2,negative,Demo internal review summary
r732,v36,m3,2025-08-03,3.6,neutral,Demo internal review summary
r735,v134,m7,2025-04-14,3.8,neutral,Demo internal review summary
r738,v147,m7,2025-12-09,3.9,neutral,Demo internal review summary
r741,v119,m3,2025-01-26,4.6,positive,Demo internal review summary
r744,v44,m6,2025-06-18,2.0,negative,Demo internal review summary
r747,v99,m3,2025-12-20,3.2,neutral,Demo internal review summary
r750,v113,m6,2025-04-03,2.0,negative,Demo internal review summary
r753,v12,m4,2025-02-02,3.9,neutral,Demo internal review summary
r756,v25,m5,2025-08-10,3.9,neutral,Demo internal review summary
r759,v130,m2,2025-08-29,4.7,positive,Demo internal review summary
r762,v114,m4,2025-10-21,3.1,neutral,Demo internal review summary
r765,v141,m5,2025-01-01,4.6,positive,Demo internal review summary
r768,v144,m3,2025-11-14,3.6,neutral,Demo internal review summary
r771,v75,m7,2025-10-08,4.7,positive,Demo internal review summary
r774,v118,m2,2025-04-08,4.8,positive,Demo internal review summary
r777,v35,m5,2025-09-13,5,positive,Demo internal review summary
r780,v100,m1,2025-12-03,4.9,positive,Demo internal review summary
r783,v116,m3,2025-03-10,3.5,neutral,Demo internal review summary
r786,v89,m3,2025-12-11,2.9,negative,Demo internal review summary
r789,v107,m5,2025-12-12,3.6,neutral,Demo internal review summary
r792,v42,m7,2025-05-27,4.8,positive,Demo internal review summary
r795,v144,m1,2025-04-25,4.0,positive,Demo internal review summary
r798,v4,m1,2025-05-09,4.9,positive,Demo internal review summary
r801,v76,m2,2025-08-18,5,positive,Demo internal review summary
r804,v66,m7,2025-01-03,4.4,positive,Demo internal review summary
r807,v19,m3,2025-12-29,4.4,positive,Demo internal review summary
r810,v85,m6,2025-06-19,2.6,negative,Demo internal review summary
r813,v63,m6,2025-01-21,2.1,negative,Demo internal review summary
r816,v125,m4,2025-01-23,3.5,neutral,Demo internal review summary
r819,v55,m2,2025-12-17,4.4,positive,Demo internal review summary
r822,v23,m1,2025-02-07,5,positive,Demo internal review summary
r825,v5,m3,2025-07-19,4.7,positive,Demo internal review summary
r828,v23,m3,2025-05-25,3.8,neutral,Demo internal review summary
r831,v37,m3,2025-06-02,3.0,neutral,Demo internal review summary
r834,v79,m1,2025-04-18,3.4,neutral,Demo internal review summary
r837,v30,m2,2025-04-03,4.7,positive,Demo internal review summary
r840,v125,m5,2025-06-19,2.9,negative,Demo internal review summary
r843,v79,m6,2025-12-22,1.9,negative,Demo internal review summary
r846,v85,m6,2025-09-03,2.4,negative,Demo internal review summary
r849,v51,m5,2025-05-15,4.0,positive,Demo internal review summary
r852,v67,m5,2025-10-06,3.9,neutral,Demo internal review summary
r855,v102,m1,2025-07-06,4.6,positive,Demo internal review summary
r858,v124,m6,2025-07-03,4.2,positive,Demo internal review summary
r861,v121,m4,2025-08-21,3.3,neutral,Demo internal review summary
r864,v97,m6,2025-07-07,2.7,negative,Demo internal review summary
r867,v124,m4,2025-11-06,2.4,negative,Demo internal review summary
r870,v30,m6,2025-09-04,2.9,negative,Demo internal review summary
r873,v132,m2,2025-01-21,4.5,positive,Demo internal review summary
r876,v115,m2,2025-11-07,4.2,positive,Demo internal review summary
r879,v88,m2,2025-08-21,4.2,positive,Demo internal review summary
r882,v10,m4,2025-09-30,3.3,neutral,Demo internal review summary
r885,v95,m4,2025-01-23,2.9,negative,Demo internal review summary
r888,v60,m4,2025-02-12,3.8,neutral,Demo internal review summary
r891,v97,m1,2025-12-02,4.3,positive,Demo internal review summary
r894,v53,m4,2025-07-31,2.9,negative,Demo internal review summary
r897,v36,m4,2025-12-04,2.0,negative,Demo internal review summary
r900,v42,m1,2025-07-19,4.8,positive,Demo internal review summary
r903,v10,m1,2025-07-16,4.0,positive,Demo internal review summary
r906,v50,m3,2025-01-18,3.4,neutral,Demo internal review summary
r909,v71,m1,2025-07-24,4.2,positive,Demo internal review summary
r912,v50,m2,2025-08-21,4.3,positive,Demo internal review summary
r915,v132,m7,2025-05-12,3.8,neutral,Demo internal review summary
r918,v8,m7,2025-09-04,4.4,positive,Demo internal review summary
r921,v68,m7,2025-05-08,3.3,neutral,Demo internal review summary
r924,v49,m6,2025-09-13,1.9,negative,Demo internal review summary
r927,v21,m1,2025-12-13,3.8,neutral,Demo internal review summary
r930,v102,m3,2025-04-24,3.2,neutral,Demo internal review summary
r933,v45,m7,2025-08-23,3.3,neutral,Demo internal review summary
r936,v141,m2,2025-05-15,4.0,positive,Demo internal review summary
r939,v103,m7,2025-05-24,4.3,positive,Demo internal review summary
r942,v122,m2,2025-01-05,4.6,positive,Demo internal review summary
r945,v26,m4,2025-12-20,3.0,neutral,Demo internal review summary
r948,v6,m3,2025-07-30,3.2,neutral,Demo internal review summary
r951,v125,m5,2025-08-17,3.3,neutral,Demo internal review summary
r954,v42,m1,2025-06-25,4.1,positive,Demo internal review summary
r957,v134,m6,2025-08-19,3.0,neutral,Demo internal review summary
r960,v14,m5,2025-01-14,3.6,neutral,Demo internal review summary
r963,v114,m3,2025-11-17,3.9,neutral,Demo internal review summary
r966,v139,m6,2025-04-01,2.7,negative,Demo internal review summary
r969,v23,m7,2025-08-15,3.8,neutral,Demo internal review summary
r972,v3,m3,2025-08-09,4.3,positive,Demo internal review summary
r975,v100,m6,2025-07-13,2.4,negative,Demo internal review summary
r978,v35,m2,2025-05-29,4.3,positive,Demo internal review summary
r981,v48,m1,2025-02-22,4.3,positive,Demo internal review summary
r984,v119,m3,2025-12-23,2.9,negative,Demo internal review summary
r987,v98,m7,2025-01-07,3.8,neutral,Demo internal review summary
r990,v100,m4,2025-12-15,3.7,neutral,Demo internal review summary
r993,v56,m7,2025-02-27,3.6,neutral,Demo internal review summary
r996,v40,m6,2025-07-10,3.1,neutral,Demo internal review summary
r999,v138,m6,2025-02-24,2.5,negative,Demo internal review summary
r1002,v125,m1,2025-12-28,5,positive,Demo internal review summary
r1005,v142,m7,2025-03-24,2.8,negative,Demo internal review summary
r1008,v94,m7,2025-11-14,4.1,positive,Demo internal review summary
r1011,v83,m4,2025-02-26,3.8,neutral,Demo internal review summary
r1014,v126,m6,2025-09-27,3.2,neutral,Demo internal review summary
r1017,v16,m4,2025-07-04,3.2,neutral,Demo internal review summary
r1020,v26,m1,2025-04-29,3.6,neutral,Demo internal review summary
r1023,v148,m7,2025-07-03,3.2,neutral,Demo internal review summary
r1026,v81,m3,2025-10-09,2.8,negative,Demo internal review summary
r1029,v97,m2,2025-10-09,3.7,neutral,Demo internal review summary
r1032,v77,m1,2025-04-24,5,positive,Demo internal review summary
r1035,v36,m2,2025-05-16,4.1,positive,Demo internal review summary
r1038,v148,m4,2025-02-18,3.2,neutral,Demo internal review summary
r1041,v31,m4,2025-04-27,3.5,neutral,Demo internal review summary
r1044,v57,m6,2025-03-20,2.5,negative,Demo internal review summary
r1047,v87,m2,2025-02-12,4.6,positive,Demo internal review summary
r1050,v147,m4,2025-04-11,3.0,neutral,Demo internal review summary
r1053,v94,m4,2025-06-28,2.7,negative,Demo internal review summary
r1056,v96,m2,2025-03-21,4.0,positive,Demo internal review summary
r1059,v116,m3,2025-08-30,3.8,neutral,Demo internal review summary
r1062,v150,m4,2025-12-06,2.4,negative,Demo internal review summary
r1065,v100,m1,2025-12-05,4.3,positive,Demo internal review summary
r1068,v23,m5,2025-04-06,4.0,positive,Demo internal review summary
r1071,v89,m1,2025-12-17,3.9,neutral,Demo internal review summary
r1074,v88,m2,2025-07-21,5,positive,Demo internal review summary
r1077,v80,m4,2025-11-06,3.3,neutral,Demo internal review summary
r1080,v145,m6,2025-03-22,3.4,neutral,Demo internal review summary
r1083,v78,m4,2025-08-15,3.2,neutral,Demo internal review summary
r1086,v60,m5,2025-04-29,3.6,neutral,Demo internal review summary
r1089,v36,m4,2025-03-25,1.6,negative,Demo internal review summary
r1092,v126,m7,2025-12-19,4.6,positive,Demo internal review summary
r1095,v138,m5,2025-09-26,4.0,positive,Demo internal review summary
r1098,v100,m5,2025-09-22,3.2,neutral,Demo internal review summary
r1101,v14,m5,2025-12-20,3.0,neutral,Demo internal review summary
r1104,v7,m4,2025-04-02,3.0,neutral,Demo internal review summary
r1107,v93,m4,2025-02-13,2.6,negative,Demo internal review summary
r1110,v39,m7,2025-03-25,2.3,negative,Demo internal review summary
r1113,v52,m2,2025-01-02,4.7,positive,Demo internal review summary
r1116,v114,m4,2025-02-10,2.8,negative,Demo internal review summary
r1119,v90,m6,2025-01-19,2.3,negative,Demo internal review summary
r1122,v147,m6,2025-10-15,1.9,negative,Demo internal review summary
r1125,v18,m7,2025-08-07,3.7,neutral,Demo internal review summary
r1128,v136,m6,2025-02-14,3.1,neutral,Demo internal review summary
r1131,v145,m2,2025-09-12,3.1,neutral,Demo internal review summary
r1134,v54,m6,2025-11-12,2.8,negative,Demo internal review summary
r1137,v18,m3,2025-06-07,3.8,neutral,Demo internal review summary
r1140,v123,m6,2025-08-31,2.9,negative,Demo internal review summary
r1143,v134,m7,2025-06-03,3.5,neutral,Demo internal review summary
r1146,v137,m4,2025-03-26,3.4,neutral,Demo internal review summary
r1149,v96,m2,2025-08-20,4.2,positive,Demo internal review summary
r1152,v49,m2,2025-06-24,4.6,positive,Demo internal review summary
r1155,v10,m2,2025-08-24,4.5,positive,Demo internal review summary
r1158,v80,m5,2025-11-24,4.1,positive,Demo internal review summary
r1161,v71,m2,2025-02-28,3.9,neutral,Demo internal review summary
r1164,v87,m3,2025-10-04,3.7,neutral,Demo internal review summary
r1167,v115,m5,2025-11-12,4.2,positive,Demo internal review summary
r1170,v25,m4,2025-08-22,2.0,negative,Demo internal review summary
r1173,v85,m6,2025-06-16,3.0,neutral,Demo internal review summary
r1176,v28,m7,2025-06-16,3.9,neutral,Demo internal review summary
r1179,v99,m4,2025-02-03,2.0,negative,Demo internal review summary
r1182,v119,m1,2025-06-16,4.0,positive,Demo internal review summary
r1185,v24,m1,2025-04-22,5,positive,Demo internal review summary
r1188,v82,m2,2025-06-03,3.7,neutral,Demo internal review summary
r1191,v95,m1,2025-10-09,4.2,positive,Demo internal review summary
r1194,v98,m4,2025-08-11,1.8,negative,Demo internal review summary
r1197,v35,m2,2025-01-06,4.8,positive,Demo internal review summary
r1200,v109,m5,2025-11-16,4.7,positive,Demo internal review summary
r1203,v61,m7,2025-12-31,4.4,positive,Demo internal review summary
r1206,v135,m2,2025-05-24,3.8,neutral,Demo internal review summary
r1209,v14,m3,2025-06-25,3.2,neutral,Demo internal review summary
r1212,v78,m6,2025-10-16,2.9,negative,Demo internal review summary
r1215,v20,m5,2025-05-23,3.6,neutral,Demo internal review summary
r1218,v61,m3,2025-09-06,4.9,positive,Demo internal review summary
r1221,v99,m7,2025-05-02,3.6,neutral,Demo internal review summary
r1224,v137,m4,2025-04-30,2.5,negative,Demo internal review summary
r1227,v11,m5,2025-02-19,3.2,neutral,Demo internal review summary
r1230,v62,m6,2025-12-11,3.6,neutral,Demo internal review summary
r1233,v106,m1,2025-02-20,4.1,positive,Demo internal review summary
r1236,v32,m5,2025-12-29,3.9,neutral,Demo internal review summary
r1239,v120,m3,2025-12-05,2.1,negative,Demo internal review summary
r1242,v100,m4,2025-06-20,3.3,neutral,Demo internal review summary
r1245,v139,m2,2025-08-09,4.6,positive,Demo internal review summary
r1248,v1,m2,2025-01-20,4.5,positive,Demo internal review summary
r1251,v18,m7,2025-10-04,4.8,positive,Demo internal review summary
r1254,v94,m1,2025-10-01,4.2,positive,Demo internal review summary
r1257,v100,m6,2025-02-24,1.7,negative,Demo internal review summary
r1260,v79,m6,2025-09-13,2.9,negative,Demo internal review summary
r1263,v134,m6,2025-08-23,3.2,neutral,Demo internal review summary
r1266,v45,m1,2025-11-20,5,positive,Demo internal review summary
r1269,v17,m2,2025-04-14,3.9,neutral,Demo internal review summary
r1272,v71,m1,2025-03-14,4.1,positive,Demo internal review summary
r1275,v97,m5,2025-03-22,3.9,neutral,Demo internal review summary
r1278,v116,m5,2025-07-30,3.8,neutral,Demo internal review summary
r1281,v108,m3,2025-01-03,4.3,positive,Demo internal review summary
r1284,v39,m7,2025-12-17,4.3,positive,Demo internal review summary
