row_id,movie_id,city,month,views,completion_rate,revenue
rp55,m1,New York,2025-10,13505,0.535,40787.16
rp56,m1,Los Angeles,2025-10,11642,0.743,32857.97
rp57,m1,Chicago,2025-10,4501,0.866,16050.66
rp58,m1,Austin,2025-10,3970,0.502,18069.9
rp59,m1,Seattle,2025-10,10986,0.721,49230.6
rp60,m1,Miami,2025-10,13209,0.839,52994.68
rp61,m1,New York,2025-11,24689,0.86,114451.62
rp62,m1,Los Angeles,2025-11,11522,0.679,30148.43
rp63,m1,Chicago,2025-11,18777,0.529,81418.0
rp64,m1,Austin,2025-11,11970,0.813,49907.33
rp65,m1,Seattle,2025-11,9620,0.854,28121.38
rp66,m1,Miami,2025-11,6373,0.55,30130.37
rp67,m1,New York,2025-12,14032,0.865,63293.31
rp68,m1,Los Angeles,2025-12,8866,0.625,36506.74
rp69,m1,Chicago,2025-12,12028,0.488,56776.16
rp70,m1,Austin,2025-12,19903,0.494,83088.64
rp71,m1,Seattle,2025-12,5319,0.756,22835.14
rp72,m1,Miami,2025-12,10216,0.581,33950.39
rp73,m2,New York,2025-01,6542,0.851,30112.98
rp74,m2,Los Angeles,2025-01,4620,0.516,20210.18
rp75,m2,Chicago,2025-01,3430,0.599,15306.72
rp76,m2,Austin,2025-01,2754,0.846,10782.59
rp77,m2,Seattle,2025-01,4965,0.796,15181.42
rp78,m2,Miami,2025-01,2035,0.809,9477.38
rp79,m2,New York,2025-02,8758,0.507,29865.56
rp80,m2,Los Angeles,2025-02,7933,0.775,27668.94
rp81,m2,Chicago,2025-02,1727,0.785,6803.16
rp82,m2,Austin,2025-02,3282,0.732,14107.5
rp83,m2,Seattle,2025-02,2807,0.481,8084.67
rp84,m2,Miami,2025-02,4492,0.605,11667.33
rp85,m2,New York,2025-03,8794,0.671,36621.85
rp86,m2,Los Angeles,2025-03,5100,0.549,19498.57
rp87,m2,Chicago,2025-03,5164,0.8,14855.76
rp88,m2,Austin,2025-03,6111,0.627,20437.54
rp89,m2,Seattle,2025-03,5707,0.858,25809.45
rp90,m2,Miami,2025-03,4040,0.488,9918.72
rp91,m2,New York,2025-04,9204,0.72,25386.5
rp92,m2,Los Angeles,2025-04,7010,0.548,26367.29
rp93,m2,Chicago,2025-04,1902,0.767,6551.21
rp94,m2,Austin,2025-04,7111,0.811,25499.75
rp95,m2,Seattle,2025-04,4394,0.765,12555.0
rp96,m2,Miami,2025-04,4889,0.595,17531.97
rp97,m2,New York,2025-05,5054,0.492,23969.64
rp98,m2,Los Angeles,2025-05,5625,0.727,25748.93
rp99,m2,Chicago,2025-05,6609,0.713,26127.79
rp100,m2,Austin,2025-05,2973,0.484,8085.64
rp101,m2,Seattle,2025-05,6015,0.87,20175.1
rp102,m2,Miami,2025-05,4593,0.765,18832.62
rp103,m2,New York,2025-06,13986,0.856,66032.15
rp104,m2,Los Angeles,2025-06,11785,0.764,51189.88
rp105,m2,Chicago,2025-06,2088,0.581,8116.43
rp106,m2,Austin,2025-06,6179,0.871,24784.15
rp107,m2,Seattle,2025-06,3835,0.867,14354.19
rp108,m2,Miami,2025-06,10004,0.552,28088.03
rp109,m2,New York,2025-07,3786,0.871,13622.43
rp110,m2,Los Angeles,2025-07,7233,0.779,33437.93
rp111,m2,Chicago,2025-07,6318,0.841,19154.4
rp112,m2,Austin,2025-07,6036,0.687,20799.22
rp113,m2,Seattle,2025-07,4583,0.606,21938.62
rp114,m2,Miami,2025-07,4382,0.702,20222.26
rp115,m2,New York,2025-08,12333,0.526,56095.67
rp116,m2,Los Angeles,2025-08,11560,0.496,37635.29
rp117,m2,Chicago,2025-08,11085,0.674,39719.47
rp118,m2,Austin,2025-08,4614,0.529,12109.84
rp119,m2,Seattle,2025-08,6748,0.552,18920.77
rp120,m2,Miami,2025-08,10268,0.809,38523.42
rp121,m2,New York,2025-09,14469,0.751,65539.98
rp122,m2,Los Angeles,2025-09,3296,0.594,15673.15
rp123,m2,Chicago,2025-09,4463,0.638,17034.43
rp124,m2,Austin,2025-09,4198,0.815,11624.52
rp125,m2,Seattle,2025-09,3783,0.664,15504.61
rp126,m2,Miami,2025-09,10413,0.662,48862.83
rp127,m2,New York,2025-10,16988,0.532,75968.11
rp128,m2,Los Angeles,2025-10,8682,0.609,21993.97
rp129,m2,Chicago,2025-10,3818,0.699,14682.12
rp130,m2,Austin,2025-10,4203,0.64,11882.83
rp131,m2,Seattle,2025-10,9589,0.516,42629.15
rp132,m2,Miami,2025-10,5439,0.635,18306.32
rp133,m2,New York,2025-11,18769,0.533,75024.36
rp134,m2,Los Angeles,2025-11,10957,0.685,39172.32
rp135,m2,Chicago,2025-11,9911,0.671,37179.5
rp136,m2,Austin,2025-11,10558,0.516,36045.93
rp137,m2,Seattle,2025-11,9542,0.726,32842.17
rp138,m2,Miami,2025-11,10612,0.517,38542.99
rp139,m2,New York,2025-12,16177,0.655,74046.96
rp140,m2,Los Angeles,2025-12,13991,0.6,66625.8
rp141,m2,Chicago,2025-12,8710,0.817,31838.72
rp142,m2,Austin,2025-12,8615,0.707,32068.36
rp143,m2,Seattle,2025-12,3734,0.685,13537.86
rp144,m2,Miami,2025-12,10907,0.518,43475.88
rp145,m3,New York,2025-01,2846,0.817,7139.54
rp146,m3,Los Angeles,2025-01,4151,0.831,12927.68
rp147,m3,Chicago,2025-01,4707,0.77,19852.48
rp148,m3,Austin,2025-01,3826,0.73,11616.42
rp149,m3,Seattle,2025-01,2140,0.564,5537.74
rp150,m3,Miami,2025-01,4815,0.584,19337.91
rp151,m3,New York,2025-02,7172,0.77,22424.84
rp152,m3,Los Angeles,2025-02,4141,0.756,19510.49
rp153,m3,Chicago,2025-02,3843,0.802,10031.48
rp154,m3,Austin,2025-02,1998,0.486,5331.84
rp155,m3,Seattle,2025-02,1152,0.758,3285.19
rp156,m3,Miami,2025-02,1229,0.564,4862.78
rp157,m3,New York,2025-03,2762,0.546,7639.18
rp158,m3,Los Angeles,2025-03,5295,0.866,18699.68
rp159,m3,Chicago,2025-03,4637,0.714,13369.46
rp160,m3,Austin,2025-03,5570,0.812,18604.69
rp161,m3,Seattle,2025-03,3737,0.483,14622.82
rp162,m3,Miami,2025-03,4500,0.872,19965.06
rp163,m3,New York,2025-04,7248,0.573,18451.17
rp164,m3,Los Angeles,2025-04,1610,0.649,5084.44
rp165,m3,Chicago,2025-04,1777,0.587,7029.67
rp166,m3,Austin,2025-04,5246,0.527,20430.4
rp167,m3,Seattle,2025-04,4174,0.659,14387.58
rp168,m3,Miami,2025-04,2605,0.595,7453.64
rp169,m3,New York,2025-05,7593,0.532,23569.78
rp170,m3,Los Angeles,2025-05,5646,0.864,24838.98
rp171,m3,Chicago,2025-05,4635,0.798,20020.48
rp172,m3,Austin,2025-05,2821,0.729,8682.75
rp173,m3,Seattle,2025-05,2128,0.747,5766.52
rp174,m3,Miami,2025-05,3164,0.543,11331.06
rp175,m3,New York,2025-06,4048,0.55,18065.04
rp176,m3,Los Angeles,2025-06,7347,0.493,18755.4
rp177,m3,Chicago,2025-06,5672,0.526,16698.69
rp178,m3,Austin,2025-06,6963,0.57,21019.72
rp179,m3,Seattle,2025-06,4784,0.794,20315.24
rp180,m3,Miami,2025-06,6915,0.587,19104.96
rp181,m3,New York,2025-07,3652,0.87,15615.83
rp182,m3,Los Angeles,2025-07,9141,0.793,42722.48
rp183,m3,Chicago,2025-07,7452,0.497,19770.06
rp184,m3,Austin,2025-07,2780,0.828,12750.1
rp185,m3,Seattle,2025-07,3190,0.771,13077.7
rp186,m3,Miami,2025-07,6858,0.679,30786.81
rp187,m3,New York,2025-08,9372,0.617,33852.18
rp188,m3,Los Angeles,2025-08,2983,0.586,12279.46
rp189,m3,Chicago,2025-08,6285,0.624,25114.79
rp190,m3,Austin,2025-08,3336,0.781,12246.99
rp191,m3,Seattle,2025-08,4194,0.535,14381.96
rp192,m3,Miami,2025-08,6222,0.839,29146.44
rp193,m3,New York,2025-09,3707,0.615,12470.21
rp194,m3,Los Angeles,2025-09,4245,0.654,14194.6
rp195,m3,Chicago,2025-09,2179,0.744,8584.21
rp196,m3,Austin,2025-09,8563,0.503,33531.49
rp197,m3,Seattle,2025-09,7914,0.869,26957.72
rp198,m3,Miami,2025-09,8315,0.829,34355.27
rp199,m3,New York,2025-10,5961,0.835,23238.74
rp200,m3,Los Angeles,2025-10,8502,0.759,38517.63
rp201,m3,Chicago,2025-10,6919,0.79,31234.71
rp202,m3,Austin,2025-10,2898,0.495,9281.67
rp203,m3,Seattle,2025-10,3422,0.688,12654.2
rp204,m3,Miami,2025-10,4523,0.517,16844.95
rp205,m3,New York,2025-11,8051,0.771,38392.73
rp206,m3,Los Angeles,2025-11,3911,0.773,17285.84
rp207,m3,Chicago,2025-11,5378,0.731,17482.46
rp208,m3,Austin,2025-11,2572,0.783,11983.52
rp209,m3,Seattle,2025-11,7882,0.599,32855.81
rp210,m3,Miami,2025-11,7941,0.616,23558.04
rp211,m3,New York,2025-12,13522,0.749,55635.49
rp212,m3,Los Angeles,2025-12,10668,0.775,28297.35
rp213,m3,Chicago,2025-12,9231,0.713,40383.99
rp214,m3,Austin,2025-12,7070,0.662,19454.72
rp215,m3,Seattle,2025-12,7967,0.811,20687.7
rp216,m3,Miami,2025-12,2905,0.65,7878.8
rp217,m4,New York,2025-01,3060,0.703,12404.15
rp218,m4,Los Angeles,2025-01,2909,0.618,9892.39
rp219,m4,Chicago,2025-01,1230,0.43,3327.27
rp220,m4,Austin,2025-01,2403,0.425,9830.33
rp221,m4,Seattle,2025-01,2687,0.422,7820.09
rp222,m4,Miami,2025-01,2465,0.394,6843.86
rp223,m4,New York,2025-02,1780,0.422,5574.64
rp224,m4,Los Angeles,2025-02,2636,0.481,9400.56
rp225,m4,Chicago,2025-02,1273,0.429,4856.62
rp226,m4,Austin,2025-02,858,0.684,2687.59
rp227,m4,Seattle,2025-02,1892,0.453,8260.28
rp228,m4,Miami,2025-02,2796,0.385,10384.59
rp229,m4,New York,2025-03,4898,0.426,13383.56
rp230,m4,Los Angeles,2025-03,3369,0.628,13480.48
rp231,m4,Chicago,2025-03,1425,0.661,4532.24
rp232,m4,Austin,2025-03,2682,0.508,12231.49
rp233,m4,Seattle,2025-03,2342,0.557,11005.97
rp234,m4,Miami,2025-03,2844,0.619,11234.37
rp235,m4,New York,2025-04,4876,0.569,12321.16
rp236,m4,Los Angeles,2025-04,4325,0.551,18170.8
rp237,m4,Chicago,2025-04,3406,0.671,9157.64
rp238,m4,Austin,2025-04,3559,0.442,8703.66
rp239,m4,Seattle,2025-04,1848,0.462,7564.76
rp240,m4,Miami,2025-04,3810,0.526,16522.49
rp241,m4,New York,2025-05,5163,0.486,15577.94
rp242,m4,Los Angeles,2025-05,1703,0.698,6301.56
rp243,m4,Chicago,2025-05,2448,0.43,7376.63
rp244,m4,Austin,2025-05,1338,0.433,6268.79
rp245,m4,Seattle,2025-05,1790,0.403,8424.99
rp246,m4,Miami,2025-05,1859,0.393,4722.61
rp247,m4,New York,2025-06,6116,0.572,21914.55
rp248,m4,Los Angeles,2025-06,4562,0.507,12208.8
rp249,m4,Chicago,2025-06,1261,0.486,4700.37
rp250,m4,Austin,2025-06,1291,0.539,4360.98
rp251,m4,Seattle,2025-06,2316,0.676,5661.91
rp252,m4,Miami,2025-06,4269,0.692,17162.38
rp253,m4,New York,2025-07,2541,0.503,12107.21
rp254,m4,Los Angeles,2025-07,2935,0.556,10028.91
rp255,m4,Chicago,2025-07,4572,0.529,10983.78
rp256,m4,Austin,2025-07,3983,0.692,15492.88
rp257,m4,Seattle,2025-07,2045,0.384,9489.65
rp258,m4,Miami,2025-07,4097,0.471,12299.74
rp259,m4,New York,2025-08,6648,0.406,17386.62
rp260,m4,Los Angeles,2025-08,2150,0.65,8901.38
rp261,m4,Chicago,2025-08,2956,0.665,8590.26
rp262,m4,Austin,2025-08,4520,0.69,14300.96
rp263,m4,Seattle,2025-08,3394,0.587,16125.36
rp264,m4,Miami,2025-08,4158,0.471,16588.19
rp265,m4,New York,2025-09,6193,0.385,15005.57
rp266,m4,Los Angeles,2025-09,2709,0.516,12322.28
rp267,m4,Chicago,2025-09,4679,0.628,17272.6
rp268,m4,Austin,2025-09,1649,0.556,7490.04
rp269,m4,Seattle,2025-09,4356,0.599,14144.75
rp270,m4,Miami,2025-09,3850,0.649,12547.6
rp271,m4,New York,2025-10,1747,0.627,7046.23
rp272,m4,Los Angeles,2025-10,4516,0.445,19685.58
rp273,m4,Chicago,2025-10,3501,0.643,10260.57
rp274,m4,Austin,2025-10,4986,0.694,12406.72
rp275,m4,Seattle,2025-10,4978,0.673,20393.49
rp276,m4,Miami,2025-10,2768,0.386,13181.86
rp277,m4,New York,2025-11,8306,0.565,21237.32
rp278,m4,Los Angeles,2025-11,2593,0.623,7016.23
rp279,m4,Chicago,2025-11,5881,0.658,26549.23
rp280,m4,Austin,2025-11,3455,0.445,13913.8
rp281,m4,Seattle,2025-11,5577,0.581,22495.57
rp282,m4,Miami,2025-11,4929,0.385,16882.19
rp283,m4,New York,2025-12,7483,0.5,31590.62
rp284,m4,Los Angeles,2025-12,3683,0.399,16957.05
rp285,m4,Chicago,2025-12,5861,0.528,14138.97
rp286,m4,Austin,2025-12,2944,0.491,13284.02
rp287,m4,Seattle,2025-12,1482,0.701,4359.31
rp288,m4,Miami,2025-12,4923,0.69,22649.68
rp289,m5,New York,2025-01,4164,0.816,12463.55
rp290,m5,Los Angeles,2025-01,4575,0.575,14722.01
rp291,m5,Chicago,2025-01,1288,0.809,4697.62
rp292,m5,Austin,2025-01,2458,0.857,10475.5
rp293,m5,Seattle,2025-01,3753,0.786,14639.84
rp294,m5,Miami,2025-01,4654,0.53,22054.66
rp295,m5,New York,2025-02,5542,0.506,22312.95
rp296,m5,Los Angeles,2025-02,5761,0.501,25577.86
rp297,m5,Chicago,2025-02,3891,0.518,16360.53
rp298,m5,Austin,2025-02,2694,0.826,11557.1
rp299,m5,Seattle,2025-02,1114,0.661,3914.71
rp300,m5,Miami,2025-02,4079,0.832,15851.62
rp301,m5,New York,2025-03,2248,0.717,9931.37
rp302,m5,Los Angeles,2025-03,6440,0.53,23321.53
rp303,m5,Chicago,2025-03,3905,0.648,16163.17
rp304,m5,Austin,2025-03,4599,0.554,12557.18
rp305,m5,Seattle,2025-03,1482,0.504,4665.34
rp306,m5,Miami,2025-03,4531,0.685,17961.3
rp307,m5,New York,2025-04,7588,0.715,30563.86
rp308,m5,Los Angeles,2025-04,1983,0.575,8657.86
rp309,m5,Chicago,2025-04,5975,0.823,20392.36
rp310,m5,Austin,2025-04,2893,0.871,11390.7
rp311,m5,Seattle,2025-04,2942,0.794,9472.43
rp312,m5,Miami,2025-04,5266,0.758,25048.34
rp313,m5,New York,2025-05,2329,0.678,10731.77
rp314,m5,Los Angeles,2025-05,3887,0.757,13681.03
rp315,m5,Chicago,2025-05,3289,0.576,13692.13
rp316,m5,Austin,2025-05,4371,0.803,14433.87
rp317,m5,Seattle,2025-05,5001,0.554,23883.31
rp318,m5,Miami,2025-05,4658,0.484,15180.09
rp319,m5,New York,2025-06,4568,0.594,13363.54
rp320,m5,Los Angeles,2025-06,4617,0.768,14846.25
rp321,m5,Chicago,2025-06,6890,0.578,19776.85
rp322,m5,Austin,2025-06,3170,0.817,14536.22
rp323,m5,Seattle,2025-06,1645,0.813,4489.84
rp324,m5,Miami,2025-06,2530,0.615,7348.56
rp325,m5,New York,2025-07,3005,0.527,13578.2
rp326,m5,Los Angeles,2025-07,3351,0.798,9583.98
rp327,m5,Chicago,2025-07,5515,0.758,17444.41
rp328,m5,Austin,2025-07,6054,0.871,18082.81
rp329,m5,Seattle,2025-07,2025,0.785,7714.4
rp330,m5,Miami,2025-07,7168,0.598,19759.03
rp331,m5,New York,2025-08,9326,0.796,36145.03
rp332,m5,Los Angeles,2025-08,4040,0.683,16980.68
rp333,m5,Chicago,2025-08,7340,0.63,26756.81
rp334,m5,Austin,2025-08,3643,0.609,12012.1
rp335,m5,Seattle,2025-08,7050,0.766,25291.88
rp336,m5,Miami,2025-08,4643,0.712,18253.74
rp337,m5,New York,2025-09,11510,0.543,50895.33
rp338,m5,Los Angeles,2025-09,5477,0.7,14910.55
rp339,m5,Chicago,2025-09,2737,0.598,9976.83
rp340,m5,Austin,2025-09,4473,0.714,15729.79
rp341,m5,Seattle,2025-09,5734,0.65,20195.85
rp342,m5,Miami,2025-09,6597,0.627,23710.3
rp343,m5,New York,2025-10,11753,0.737,50374.49
rp344,m5,Los Angeles,2025-10,5404,0.519,13894.96
rp345,m5,Chicago,2025-10,2319,0.698,7423.16
rp346,m5,Austin,2025-10,5975,0.58,25026.33
rp347,m5,Seattle,2025-10,5286,0.556,20349.42
rp348,m5,Miami,2025-10,3571,0.879,15018.63
rp349,m5,New York,2025-11,2830,0.669,10273.9
rp350,m5,Los Angeles,2025-11,4502,0.826,13263.74
rp351,m5,Chicago,2025-11,4719,0.67,17167.63
rp352,m5,Austin,2025-11,9258,0.783,38272.8
rp353,m5,Seattle,2025-11,8049,0.616,20976.52
rp354,m5,Miami,2025-11,4426,0.652,20627.95
rp355,m5,New York,2025-12,12149,0.804,53483.75
rp356,m5,Los Angeles,2025-12,7786,0.57,26641.56
rp357,m5,Chicago,2025-12,7656,0.785,31062.27
rp358,m5,Austin,2025-12,6211,0.61,15252.82
rp359,m5,Seattle,2025-12,2487,0.849,6886.15
rp360,m5,Miami,2025-12,6638,0.707,28662.55
rp361,m6,New York,2025-01,2552,0.566,8890.36
rp362,m6,Los Angeles,2025-01,2063,0.414,5467.68
rp363,m6,Chicago,2025-01,2782,0.441,12195.01
rp364,m6,Austin,2025-01,2982,0.54,8492.92
rp365,m6,Seattle,2025-01,859,0.676,2857.16
rp366,m6,Miami,2025-01,1401,0.459,5580.14
rp367,m6,New York,2025-02,1637,0.556,5807.75
rp368,m6,Los Angeles,2025-02,1089,0.508,4975.22
rp369,m6,Chicago,2025-02,1553,0.426,4493.8
rp370,m6,Austin,2025-02,2546,0.646,10172.55
rp371,m6,Seattle,2025-02,1343,0.577,6250.28
rp372,m6,Miami,2025-02,3230,0.449,13308.42
rp373,m6,New York,2025-03,4661,0.665,16334.43
rp374,m6,Los Angeles,2025-03,4009,0.397,10498.15
rp375,m6,Chicago,2025-03,2908,0.495,12860.15
rp376,m6,Austin,2025-03,2141,0.509,9369.51
rp377,m6,Seattle,2025-03,1551,0.517,4390.86
rp378,m6,Miami,2025-03,2791,0.531,12799.52
rp379,m6,New York,2025-04,3105,0.597,7949.38
rp380,m6,Los Angeles,2025-04,2194,0.675,7431.23
rp381,m6,Chicago,2025-04,3669,0.423,12052.51
rp382,m6,Austin,2025-04,1320,0.545,5637.49
rp383,m6,Seattle,2025-04,2920,0.528,8779.39
rp384,m6,Miami,2025-04,3424,0.398,8437.16
rp385,m6,New York,2025-05,1999,0.611,5452.38
rp386,m6,Los Angeles,2025-05,3983,0.539,10211.49
rp387,m6,Chicago,2025-05,3940,0.594,16203.63
rp388,m6,Austin,2025-05,3312,0.429,14470.21
rp389,m6,Seattle,2025-05,1745,0.439,4263.66
rp390,m6,Miami,2025-05,1400,0.441,3777.15
rp391,m6,New York,2025-06,5584,0.453,22739.06
rp392,m6,Los Angeles,2025-06,4691,0.589,19324.04
rp393,m6,Chicago,2025-06,1519,0.509,4769.63
rp394,m6,Austin,2025-06,1211,0.575,3047.84
rp395,m6,Seattle,2025-06,3192,0.629,14776.31
rp396,m6,Miami,2025-06,3176,0.675,9146.77
rp397,m6,New York,2025-07,2765,0.616,6928.07
rp398,m6,Los Angeles,2025-07,4939,0.418,15731.4
rp399,m6,Chicago,2025-07,4618,0.585,18006.58
rp400,m6,Austin,2025-07,4485,0.51,15369.7
rp401,m6,Seattle,2025-07,2468,0.452,8035.27
rp402,m6,Miami,2025-07,2086,0.389,8280.55
rp403,m6,New York,2025-08,3420,0.516,14508.01
rp404,m6,Los Angeles,2025-08,5156,0.699,13634.28
rp405,m6,Chicago,2025-08,4738,0.637,21857.99
rp406,m6,Austin,2025-08,4967,0.439,23353.26
rp407,m6,Seattle,2025-08,5180,0.488,20275.02
rp408,m6,Miami,2025-08,3713,0.601,17576.16
rp409,m6,New York,2025-09,7506,0.676,26101.27
rp410,m6,Los Angeles,2025-09,5568,0.589,16469.15
rp411,m6,Chicago,2025-09,5404,0.609,13141.99
rp412,m6,Austin,2025-09,1234,0.581,5617.5
rp413,m6,Seattle,2025-09,3353,0.46,11495.41
rp414,m6,Miami,2025-09,2872,0.582,7305.84
rp415,m6,New York,2025-10,4994,0.427,15791.49
rp416,m6,Los Angeles,2025-10,1666,0.551,7907.11
rp417,m6,Chicago,2025-10,3387,0.624,9990.38
rp418,m6,Austin,2025-10,3719,0.494,10762.64
rp419,m6,Seattle,2025-10,1560,0.674,6233.78
rp420,m6,Miami,2025-10,3074,0.64,12514.46
rp421,m6,New York,2025-11,3756,0.401,17956.8
rp422,m6,Los Angeles,2025-11,3310,0.424,9323.68
rp423,m6,Chicago,2025-11,5709,0.65,26468.92
rp424,m6,Austin,2025-11,3142,0.546,10754.99
rp425,m6,Seattle,2025-11,5037,0.484,20812.97
rp426,m6,Miami,2025-11,3213,0.52,12383.04
rp427,m6,New York,2025-12,6348,0.505,22406.61
rp428,m6,Los Angeles,2025-12,5650,0.546,23525.63
rp429,m6,Chicago,2025-12,2609,0.646,11230.55
rp430,m6,Austin,2025-12,1435,0.628,4915.96
rp431,m6,Seattle,2025-12,1982,0.627,9140.35
rp432,m6,Miami,2025-12,6403,0.556,23862.99
rp433,m7,New York,2025-01,5334,0.558,24529.55
rp434,m7,Los Angeles,2025-01,1111,0.485,4001.47
rp435,m7,Chicago,2025-01,3340,0.677,15436.34
rp436,m7,Austin,2025-01,3471,0.868,11438.85
rp437,m7,Seattle,2025-01,4081,0.603,19466.59
rp438,m7,Miami,2025-01,1396,0.644,3480.49
rp439,m7,New York,2025-02,6086,0.734,19984.19
rp440,m7,Los Angeles,2025-02,1666,0.74,7702.99
rp441,m7,Chicago,2025-02,2791,0.577,6929.55
rp442,m7,Austin,2025-02,3605,0.732,14504.43
rp443,m7,Seattle,2025-02,2089,0.585,7297.15
rp444,m7,Miami,2025-02,2086,0.582,8021.0
rp445,m7,New York,2025-03,2382,0.687,6796.26
rp446,m7,Los Angeles,2025-03,5095,0.546,17447.78
rp447,m7,Chicago,2025-03,3491,0.68,12845.77
rp448,m7,Austin,2025-03,4118,0.714,17136.81
rp449,m7,Seattle,2025-03,1831,0.524,6910.68
rp450,m7,Miami,2025-03,3819,0.806,11631.34
rp451,m7,New York,2025-04,6447,0.69,25600.08
rp452,m7,Los Angeles,2025-04,5620,0.548,18541.3
rp453,m7,Chicago,2025-04,2376,0.559,6740.15
rp454,m7,Austin,2025-04,2173,0.66,9462.3
rp455,m7,Seattle,2025-04,2810,0.56,11801.43
rp456,m7,Miami,2025-04,2863,0.584,13070.9
rp457,m7,New York,2025-05,2601,0.617,9898.24
rp458,m7,Los Angeles,2025-05,6567,0.674,27747.42
rp459,m7,Chicago,2025-05,1425,0.504,5991.15
rp460,m7,Austin,2025-05,1405,0.746,6033.21
rp461,m7,Seattle,2025-05,1721,0.519,6287.85
rp462,m7,Miami,2025-05,1405,0.63,5125.69
rp463,m7,New York,2025-06,6126,0.807,28537.23
rp464,m7,Los Angeles,2025-06,6160,0.631,15630.26
rp465,m7,Chicago,2025-06,4939,0.829,21410.8
rp466,m7,Austin,2025-06,1470,0.663,5991.63
rp467,m7,Seattle,2025-06,2804,0.49,7556.63
rp468,m7,Miami,2025-06,6655,0.592,27140.65
rp469,m7,New York,2025-07,6651,0.487,21712.15
rp470,m7,Los Angeles,2025-07,2322,0.868,9673.34
rp471,m7,Chicago,2025-07,6210,0.573,22125.53
rp472,m7,Austin,2025-07,2394,0.619,11141.21
rp473,m7,Seattle,2025-07,6544,0.875,29166.87
rp474,m7,Miami,2025-07,2594,0.774,8055.07
rp475,m7,New York,2025-08,6767,0.813,32421.59
rp476,m7,Los Angeles,2025-08,7896,0.547,27407.71
rp477,m7,Chicago,2025-08,2934,0.673,10848.77
rp478,m7,Austin,2025-08,4363,0.565,18358.66
rp479,m7,Seattle,2025-08,2640,0.522,12629.94
rp480,m7,Miami,2025-08,1966,0.544,9101.64
rp481,m7,New York,2025-09,10918,0.733,39094.09
rp482,m7,Los Angeles,2025-09,6546,0.829,30349.04
rp483,m7,Chicago,2025-09,8874,0.506,28607.49
rp484,m7,Austin,2025-09,6272,0.742,26870.48
rp485,m7,Seattle,2025-09,6929,0.803,20347.16
rp486,m7,Miami,2025-09,3113,0.596,8303.36
