activity_id,viewer_id,movie_id,watch_date,minutes_watched,completed,device
a220,v88,m1,2025-02-13,109.5,1,TV
a221,v64,m1,2025-12-29,98.8,1,Mobile
a222,v134,m5,2025-11-09,37.5,0,Mobile
a223,v100,m3,2025-07-29,105.2,1,Web
a224,v14,m5,2025-11-20,91.2,1,TV
a225,v25,m3,2025-10-13,94.6,1,Mobile
a226,v39,m5,2025-06-20,29.0,0,Web
a227,v90,m2,2025-06-08,183.3,1,Web
a228,v101,m6,2025-03-08,64.1,0,TV
a229,v144,m3,2025-07-12,90.8,1,Mobile
a230,v33,m7,2025-12-10,97.3,1,Web
a231,v135,m6,2025-02-17,68.3,0,Mobile
a232,v47,m3,2025-04-20,57.6,0,Mobile
a233,v58,m2,2025-03-12,53.7,0,Mobile
a234,v26,m7,2025-09-17,104.8,1,Web
a235,v10,m5,2025-12-05,57.0,0,Web
a236,v97,m2,2025-03-20,54.9,0,Web
a237,v43,m7,2025-08-13,24.8,0,Mobile
a238,v73,m4,2025-08-18,34.3,0,TV
a239,v121,m3,2025-04-10,60.5,0,Web
a240,v119,m4,2025-05-25,79.2,0,Web
a241,v108,m5,2025-03-24,109.9,1,Web
a242,v65,m2,2025-01-27,131.3,1,Mobile
a243,v27,m5,2025-12-31,113.0,1,TV
a244,v116,m3,2025-09-20,36.2,0,Mobile
a245,v57,m1,2025-08-19,170.1,1,TV
a246,v14,m4,2025-07-22,56.4,0,TV
a247,v21,m4,2025-07-11,33.5,0,Mobile
a248,v86,m1,2025-03-16,50.9,0,Mobile
a249,v121,m7,2025-12-23,111.4,1,Web
a250,v5,m1,2025-05-12,63.4,0,TV
a251,v136,m5,2025-08-05,32.2,0,Mobile
a252,v78,m2,2025-03-04,36.6,0,Mobile
a253,v118,m6,2025-02-02,24.1,0,Mobile
a254,v138,m5,2025-01-09,89.5,1,Web
a255,v37,m2,2025-05-30,97.5,1,Web
a256,v22,m2,2025-09-26,184.5,1,TV
a257,v140,m5,2025-09-17,106.5,1,Web
a258,v6,m5,2025-07-19,116.1,1,TV
a259,v100,m6,2025-07-11,35.9,0,TV
a260,v18,m3,2025-06-26,46.5,0,Web
a261,v27,m6,2025-10-25,75.7,0,Mobile
a262,v45,m3,2025-12-17,71.1,0,Web
a263,v47,m4,2025-03-11,20.2,0,Mobile
a264,v76,m1,2025-04-14,36.0,0,TV
a265,v81,m1,2025-06-08,111.2,1,Web
a266,v65,m4,2025-01-19,77.1,0,TV
a267,v92,m3,2025-01-25,115.2,1,Mobile
a268,v103,m4,2025-08-14,88.8,1,Mobile
a269,v48,m3,2025-09-12,96.1,1,Mobile
a270,v133,m7,2025-05-17,108.1,1,Web
a271,v21,m4,2025-08-09,64.7,0,TV
a272,v76,m5,2025-06-14,31.3,0,Mobile
a273,v76,m6,2025-06-06,51.8,0,Web
a274,v115,m3,2025-01-22,99.9,1,Mobile
a275,v112,m5,2025-05-21,90.3,1,TV
a276,v104,m1,2025-07-06,110.8,1,Web
a277,v41,m6,2025-01-16,26.8,0,Web
a278,v113,m6,2025-01-18,25.4,0,TV
a279,v94,m7,2025-07-05,62.1,0,Web
a280,v95,m4,2025-07-10,51.6,0,TV
a281,v36,m5,2025-09-29,60.4,0,Mobile
a282,v72,m6,2025-05-08,94.2,1,TV
a283,v48,m6,2025-09-13,57.7,0,Web
a284,v68,m1,2025-05-14,141.3,1,TV
a285,v74,m5,2025-12-22,120.8,1,Mobile
a286,v116,m1,2025-03-30,172.3,1,Mobile
a287,v82,m1,2025-12-08,84.4,0,TV
a288,v139,m5,2025-05-29,118.0,1,TV
a289,v45,m6,2025-07-05,57.0,0,TV
a290,v36,m2,2025-05-02,155.1,1,TV
a291,v142,m3,2025-10-21,60.6,0,Web
a292,v80,m1,2025-07-23,188.4,1,Web
a293,v135,m4,2025-07-30,78.5,0,Web
a294,v33,m1,2025-06-12,131.5,1,Mobile
a295,v133,m4,2025-06-26,25.6,0,Web
a296,v47,m6,2025-03-08,50.7,0,TV
a297,v32,m7,2025-09-23,36.8,0,TV
a298,v89,m2,2025-09-23,171.7,1,TV
a299,v51,m3,2025-11-22,125.2,1,Mobile
a300,v78,m2,2025-11-11,114.1,1,Web
a301,v44,m6,2025-10-31,92.7,1,TV
a302,v87,m2,2025-10-16,35.6,0,TV
a303,v12,m1,2025-11-25,152.0,1,Mobile
a304,v8,m4,2025-09-12,88.3,1,Web
a305,v78,m3,2025-09-05,46.9,0,Web
a306,v77,m4,2025-08-21,21.0,0,TV
a307,v113,m2,2025-08-01,106.2,1,TV
a308,v37,m3,2025-06-10,114.8,1,Mobile
a309,v89,m6,2025-07-24,25.8,0,Mobile
a310,v120,m2,2025-03-04,71.7,0,TV
a311,v25,m2,2025-01-26,75.3,0,Mobile
a312,v108,m7,2025-05-08,125.9,1,TV
a313,v84,m7,2025-10-23,99.3,1,TV
a314,v41,m7,2025-09-13,129.6,1,Mobile
a315,v79,m4,2025-09-12,16.9,0,Mobile
a316,v150,m2,2025-06-30,36.8,0,Mobile
a317,v121,m4,2025-05-27,59.3,0,TV
a318,v35,m4,2025-05-16,75.0,0,Mobile
a319,v12,m3,2025-07-25,25.6,0,Web
a320,v93,m2,2025-10-11,75.0,0,Mobile
a321,v116,m5,2025-10-09,50.8,0,Web
a322,v101,m1,2025-07-11,155.8,1,Mobile
a323,v94,m5,2025-03-15,41.9,0,Web
a324,v129,m4,2025-01-21,18.7,0,TV
a325,v86,m6,2025-08-31,57.8,0,TV
a326,v132,m5,2025-03-13,56.1,0,Web
a327,v42,m3,2025-07-21,129.0,1,Web
a328,v131,m5,2025-09-30,73.9,0,Web
a329,v122,m3,2025-01-09,60.5,0,Web
a330,v107,m1,2025-10-26,78.1,0,Web
a331,v7,m7,2025-11-02,72.2,0,Web
a332,v149,m7,2025-10-23,45.0,0,TV
a333,v123,m5,2025-03-29,77.7,0,Web
a334,v63,m2,2025-01-17,120.3,1,Web
a335,v49,m1,2025-01-10,99.3,1,Mobile
a336,v106,m2,2025-12-20,61.5,0,Web
a337,v121,m7,2025-02-01,97.6,1,Web
a338,v144,m2,2025-06-16,188.2,1,Mobile
a339,v97,m5,2025-06-10,125.2,1,Mobile
a340,v68,m3,2025-11-09,73.3,0,TV
a341,v143,m3,2025-06-02,44.7,0,Mobile
a342,v74,m7,2025-12-27,42.8,0,Web
a343,v82,m4,2025-09-03,43.8,0,Web
a344,v74,m3,2025-03-04,83.1,0,Web
a345,v102,m4,2025-06-26,93.8,1,TV
a346,v21,m6,2025-06-27,91.2,1,Web
a347,v123,m3,2025-04-20,42.2,0,Web
a348,v144,m3,2025-12-23,49.9,0,TV
a349,v62,m5,2025-05-05,25.6,0,Web
a350,v60,m2,2025-01-27,45.0,0,Mobile
a351,v121,m6,2025-02-21,71.2,0,TV
a352,v105,m2,2025-12-01,178.1,1,Mobile
a353,v52,m4,2025-05-28,41.5,0,Web
a354,v23,m1,2025-11-30,120.6,1,Web
a355,v10,m6,2025-03-31,49.5,0,TV
a356,v102,m1,2025-09-11,58.7,0,Web
a357,v75,m7,2025-01-20,21.0,0,Web
a358,v73,m3,2025-08-21,128.8,1,Web
a359,v127,m5,2025-03-10,113.6,1,Mobile
a360,v50,m3,2025-02-27,56.4,0,Web
a361,v66,m4,2025-04-06,16.2,0,Mobile
a362,v76,m7,2025-10-18,94.2,1,TV
a363,v104,m2,2025-08-07,111.2,1,TV
a364,v123,m2,2025-06-15,178.3,1,TV
a365,v99,m3,2025-05-01,69.1,0,Mobile
a366,v78,m3,2025-10-26,99.5,1,TV
a367,v93,m3,2025-12-21,46.0,0,Web
a368,v120,m1,2025-06-07,54.5,0,Web
a369,v80,m5,2025-12-20,32.9,0,Mobile
a370,v123,m2,2025-03-20,101.6,1,Web
a371,v107,m3,2025-12-26,80.4,0,Mobile
a372,v138,m7,2025-12-07,110.8,1,TV
a373,v21,m6,2025-09-27,51.9,0,Web
a374,v20,m3,2025-10-16,32.3,0,Web
a375,v52,m5,2025-10-21,79.0,0,TV
a376,v53,m1,2025-10-26,107.0,1,Web
a377,v15,m4,2025-08-21,25.9,0,Mobile
a378,v145,m4,2025-01-30,61.1,0,Web
a379,v79,m7,2025-01-12,63.6,0,TV
a380,v56,m6,2025-10-24,21.0,0,Mobile
a381,v17,m3,2025-10-05,129.4,1,TV
a382,v105,m3,2025-04-03,104.6,1,Web
a383,v108,m6,2025-07-11,96.9,1,Mobile
a384,v97,m4,2025-07-12,21.6,0,Web
a385,v139,m7,2025-03-10,91.9,1,Mobile
a386,v46,m1,2025-10-03,91.7,1,TV
a387,v58,m6,2025-01-02,77.4,0,Mobile
a388,v137,m4,2025-07-14,82.9,0,TV
a389,v89,m4,2025-03-21,37.7,0,Web
a390,v29,m7,2025-01-17,109.0,1,Mobile
a391,v5,m5,2025-05-04,42.7,0,TV
a392,v9,m5,2025-08-17,85.8,1,Web
a393,v13,m7,2025-05-06,101.5,1,Mobile
a394,v15,m7,2025-03-13,75.4,0,Mobile
a395,v148,m2,2025-06-13,121.1,1,Web
a396,v83,m7,2025-05-02,53.2,0,TV
a397,v134,m6,2025-04-24,49.1,0,Mobile
a398,v143,m1,2025-10-30,169.3,1,TV
a399,v110,m6,2025-10-12,55.9,0,Mobile
a400,v135,m7,2025-06-13,96.6,1,Mobile
a401,v77,m2,2025-07-12,58.3,0,Web
a402,v62,m4,2025-04-26,39.8,0,Web
a403,v119,m2,2025-01-30,118.7,1,Mobile
a404,v136,m5,2025-03-10,62.7,0,Mobile
a405,v85,m2,2025-11-28,41.6,0,Mobile
a406,v49,m6,2025-01-27,37.1,0,Web
a407,v11,m5,2025-02-07,40.7,0,Web
a408,v144,m6,2025-04-22,54.6,0,Mobile
a409,v4,m3,2025-04-19,123.1,1,Web
a410,v123,m1,2025-05-05,140.0,1,Web
a411,v102,m2,2025-05-03,117.1,1,Mobile
a412,v79,m3,2025-05-14,59.6,0,Mobile
a413,v26,m4,2025-08-29,77.8,0,Mobile
a414,v95,m2,2025-06-10,95.0,1,Web
a415,v57,m7,2025-03-16,21.8,0,Web
a416,v149,m5,2025-08-02,52.5,0,TV
a417,v59,m3,2025-07-14,82.7,0,TV
a418,v87,m6,2025-05-12,78.0,0,Mobile
a419,v126,m6,2025-08-24,28.9,0,Mobile
a420,v36,m2,2025-10-07,106.9,1,Web
a421,v16,m6,2025-09-26,17.8,0,TV
a422,v13,m7,2025-01-04,65.4,0,Web
a423,v18,m2,2025-12-29,53.1,0,TV
a424,v124,m5,2025-12-04,73.7,0,TV
a425,v142,m5,2025-07-30,21.3,0,Web
a426,v71,m6,2025-10-02,95.6,1,TV
a427,v111,m5,2025-04-02,31.8,0,TV
a428,v39,m5,2025-05-04,41.1,0,Web
a429,v91,m3,2025-05-17,107.4,1,TV
a430,v63,m5,2025-12-23,44.8,0,Web
a431,v21,m7,2025-12-01,129.1,1,Web
a432,v9,m7,2025-02-17,64.6,0,Mobile
a433,v122,m5,2025-01-29,90.0,1,Web
a434,v22,m2,2025-09-13,163.8,1,Web
a435,v85,m7,2025-10-17,127.5,1,TV
a436,v55,m2,2025-12-21,170.6,1,Mobile
a437,v12,m3,2025-02-08,95.3,1,Mobile
a438,v145,m5,2025-12-03,23.6,0,Mobile
a439,v54,m1,2025-10-28,52.0,0,Web
a440,v102,m7,2025-02-09,52.9,0,Web
a441,v146,m2,2025-07-19,137.0,1,Web
a442,v21,m2,2025-09-14,147.9,1,Mobile
a443,v26,m1,2025-08-12,66.0,0,TV
a444,v102,m3,2025-06-17,23.3,0,Mobile
a445,v116,m7,2025-09-09,45.1,0,Web
a446,v111,m4,2025-04-06,71.1,0,Web
a447,v22,m4,2025-11-13,39.4,0,TV
a448,v98,m2,2025-12-31,154.0,1,TV
a449,v100,m6,2025-06-12,44.8,0,TV
a450,v79,m1,2025-08-16,86.4,1,Mobile
a451,v34,m1,2025-02-14,58.9,0,Mobile
a452,v143,m5,2025-09-20,64.9,0,TV
a453,v91,m1,2025-10-11,43.8,0,Web
a454,v75,m1,2025-07-31,90.9,1,TV
a455,v144,m6,2025-05-05,62.2,0,TV
a456,v98,m6,2025-03-28,26.5,0,Mobile
a457,v127,m3,2025-03-16,27.0,0,Mobile
a458,v108,m3,2025-06-03,73.3,0,TV
a459,v65,m3,2025-05-07,99.3,1,Mobile
a460,v35,m1,2025-06-05,30.1,0,Mobile
a461,v98,m3,2025-06-18,68.4,0,Mobile
a462,v35,m7,2025-06-03,55.3,0,Web
a463,v123,m2,2025-06-10,57.3,0,Mobile
a464,v75,m3,2025-12-22,89.6,1,Web
a465,v63,m7,2025-06-16,61.4,0,Mobile
a466,v140,m2,2025-04-03,137.7,1,Web
a467,v119,m1,2025-12-29,62.4,0,Mobile
a468,v18,m7,2025-07-29,94.0,1,TV
a469,v78,m6,2025-05-04,35.8,0,TV
a470,v109,m6,2025-07-13,21.1,0,Web
a471,v150,m4,2025-07-25,59.1,0,Web
a472,v138,m3,2025-11-01,90.2,1,TV
a473,v64,m1,2025-12-03,135.0,1,TV
a474,v12,m6,2025-10-16,96.1,1,Web
a475,v103,m6,2025-06-19,94.7,1,Mobile
a476,v3,m1,2025-02-20,70.3,0,Web
a477,v133,m6,2025-10-13,62.9,0,Web
a478,v129,m4,2025-03-19,43.5,0,TV
a479,v27,m4,2025-06-01,49.3,0,TV
a480,v37,m1,2025-06-28,78.7,0,Mobile
a481,v53,m7,2025-09-24,73.1,0,Mobile
a482,v113,m1,2025-12-23,101.2,1,TV
a483,v12,m3,2025-12-30,32.7,0,Mobile
a484,v63,m2,2025-09-22,56.8,0,TV
a485,v144,m3,2025-08-07,125.4,1,TV
a486,v104,m7,2025-11-19,40.3,0,Web
a487,v111,m6,2025-07-22,17.4,0,Web
a488,v116,m2,2025-10-31,97.5,1,TV
a489,v55,m6,2025-04-16,38.0,0,Web
a490,v138,m1,2025-04-06,87.3,1,TV
a491,v30,m4,2025-05-15,70.3,0,Mobile
a492,v81,m5,2025-11-02,62.8,0,Mobile
a493,v30,m5,2025-06-28,58.7,0,Mobile
a494,v45,m5,2025-12-11,97.7,1,Mobile
a495,v22,m5,2025-12-11,34.7,0,TV
a496,v37,m3,2025-09-19,62.7,0,Web
a497,v148,m2,2025-07-16,96.5,1,Mobile
a498,v138,m6,2025-12-22,90.8,1,TV
a499,v43,m5,2025-09-08,51.8,0,TV
a500,v116,m3,2025-11-14,25.9,0,Mobile
a501,v125,m1,2025-03-11,60.1,0,Mobile
a502,v105,m4,2025-12-17,55.6,0,Web
a503,v114,m7,2025-09-08,38.4,0,Web
a504,v57,m1,2025-05-30,34.2,0,TV
a505,v74,m5,2025-03-28,105.9,1,Web
a506,v127,m6,2025-10-09,57.1,0,Web
a507,v69,m1,2025-10-06,160.3,1,Mobile
a508,v113,m7,2025-10-07,44.0,0,Mobile
a509,v64,m1,2025-06-02,168.5,1,TV
a510,v68,m4,2025-06-28,86.1,1,TV
a511,v31,m4,2025-05-02,32.3,0,Web
a512,v90,m5,2025-12-30,87.1,1,Mobile
a513,v36,m2,2025-04-16,158.8,1,TV
a514,v138,m5,2025-03-28,55.6,0,Web
a515,v75,m3,2025-10-21,49.4,0,Web
a516,v25,m6,2025-03-11,94.4,1,Mobile
a517,v71,m1,2025-12-02,49.2,0,TV
a518,v38,m2,2025-12-31,80.4,0,TV
a519,v101,m7,2025-09-08,35.6,0,Web
a520,v20,m4,2025-11-21,80.6,0,TV
a521,v132,m4,2025-05-23,72.3,0,Mobile
a522,v125,m4,2025-06-17,63.0,0,Web
a523,v118,m1,2025-11-22,134.9,1,Mobile
a524,v17,m7,2025-10-01,63.7,0,Mobile
a525,v55,m7,2025-09-11,49.5,0,Mobile
a526,v125,m5,2025-06-25,118.4,1,TV
a527,v26,m1,2025-11-17,154.0,1,Mobile
a528,v32,m1,2025-03-22,99.4,1,TV
a529,v52,m4,2025-12-19,90.0,1,Web
a530,v41,m3,2025-05-21,30.3,0,Mobile
a531,v22,m3,2025-07-10,93.1,1,Web
a532,v60,m3,2025-08-08,92.1,1,Web
a533,v1,m1,2025-04-20,105.1,1,TV
a534,v58,m5,2025-09-23,94.8,1,TV
a535,v88,m1,2025-03-03,186.6,1,Mobile
a536,v34,m6,2025-09-02,20.8,0,Mobile
a537,v27,m1,2025-02-22,79.0,0,Mobile
a538,v35,m7,2025-11-25,129.2,1,TV
a539,v136,m1,2025-10-16,30.4,0,Web
a540,v113,m2,2025-06-29,144.2,1,Web
a541,v39,m6,2025-07-30,65.8,0,Mobile
a542,v56,m7,2025-02-14,118.6,1,TV
